task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
2	46/11e7e5	272	NFCORE_TAXPROFILER:TAXPROFILER:SHORTREAD_PREPROCESSING:SHORTREAD_FASTP:FASTP_PAIRED (2604_med)	COMPLETED	0	2026-05-23 05:49:29.915	6m 43s	2m	812.9%	6.3 GB	7.3 GB	5.6 GB	3.2 GB
1	30/8421fa	274	NFCORE_TAXPROFILER:TAXPROFILER:SHORTREAD_PREPROCESSING:SHORTREAD_FASTP:FASTP_PAIRED (2604_sma)	COMPLETED	0	2026-05-23 05:49:29.959	6m 58s	12.8s	254.9%	5.6 GB	6.6 GB	242.7 MB	72.5 MB
4	31/bb04a7	276	NFCORE_TAXPROFILER:TAXPROFILER:FASTQC (2604_sma)	COMPLETED	0	2026-05-23 05:49:30.014	7m 13s	10s	198.1%	5.1 GB	40.3 GB	194.5 MB	3.9 MB
11	86/25cc79	280	NFCORE_TAXPROFILER:TAXPROFILER:SHORTREAD_PREPROCESSING:FASTQC_PROCESSED (2604_sma)	COMPLETED	0	2026-05-23 05:56:28.180	19.9s	5s	214.4%	1.3 GB	40.3 GB	83.9 MB	3.8 MB
10	8d/ade2d3	282	NFCORE_TAXPROFILER:TAXPROFILER:SHORTREAD_COMPLEXITYFILTERING:BBMAP_BBDUK (2604_sma)	COMPLETED	0	2026-05-23 05:56:28.232	24.9s	2.1s	617.9%	708 MB	42.4 GB	655.5 MB	649.1 MB
8	07/7c0876	277	NFCORE_TAXPROFILER:TAXPROFILER:SHORTREAD_COMPLEXITYFILTERING:BBMAP_BBDUK (2604_med)	COMPLETED	0	2026-05-23 05:56:13.561	2m	1m 24s	669.0%	3.9 GB	44.4 GB	30.6 GB	30.5 GB
7	65/4174bf	279	NFCORE_TAXPROFILER:TAXPROFILER:SHORTREAD_PREPROCESSING:FASTQC_PROCESSED (2604_med)	COMPLETED	0	2026-05-23 05:56:13.631	2m 15s	1m 57s	203.3%	9.2 GB	40.2 GB	3.2 GB	4.2 MB
13	10/40cc48	283	NFCORE_TAXPROFILER:TAXPROFILER:SHORTREAD_HOSTREMOVAL:BOWTIE2_ALIGN (2604_sma)	COMPLETED	0	2026-05-23 05:56:53.181	2m 35s	56.6s	419.9%	4.1 GB	14.4 GB	4.6 GB	1.2 GB
5	54/0a740d	275	NFCORE_TAXPROFILER:TAXPROFILER:FASTQC (2604_med)	COMPLETED	0	2026-05-23 05:49:29.983	10m 8s	3m 9s	200.8%	9.7 GB	40.3 GB	5.5 GB	4.1 MB
9	c0/262324	278	NFCORE_TAXPROFILER:TAXPROFILER:NONPAREIL:NONPAREIL_NONPAREIL (2604_med)	COMPLETED	0	2026-05-23 05:56:13.590	4m 55s	4m 16s	41.5%	10.1 MB	225.3 MB	8.7 GB	7 GB
15	fc/62978c	285	NFCORE_TAXPROFILER:TAXPROFILER:SHORTREAD_HOSTREMOVAL:SAMTOOLS_INDEX (2604_sma)	COMPLETED	0	2026-05-23 05:59:28.212	3m 45s	1s	193.0%	10.8 MB	232.4 MB	57.7 MB	1.8 MB
27	9a/f42f06	297	NFCORE_TAXPROFILER:TAXPROFILER:SHORTREAD_HOSTREMOVAL:SAMTOOLS_STATS (2604_sma)	COMPLETED	0	2026-05-23 06:03:13.243	9.9s	2s	146.5%	9.1 MB	158.3 MB	57.8 MB	110.6 KB
26	03/972c58	296	NFCORE_TAXPROFILER:TAXPROFILER:NONPAREIL:NONPAREIL_CURVE (2604_med)	COMPLETED	0	2026-05-23 06:01:08.197	2m 30s	1s	400.6%	3.1 MB	4.3 MB	6.2 MB	28.3 KB
12	0f/7ad834	281	NFCORE_TAXPROFILER:TAXPROFILER:NONPAREIL:NONPAREIL_NONPAREIL (2604_sma)	COMPLETED	0	2026-05-23 05:56:28.204	7m 15s	8s	119.9%	10.6 MB	221.4 MB	265.6 MB	150.8 MB
28	90/1523c7	298	NFCORE_TAXPROFILER:TAXPROFILER:NONPAREIL:NONPAREIL_CURVE (2604_sma)	COMPLETED	0	2026-05-23 06:03:43.193	5s	1s	425.9%	3.1 MB	4.3 MB	6.2 MB	26.3 KB
6	23/5a95cc	273	NFCORE_TAXPROFILER:TAXPROFILER:FASTQC (2604_lar)	COMPLETED	0	2026-05-23 05:49:29.938	14m 53s	7m 51s	201.0%	9.7 GB	40.3 GB	12.8 GB	3.8 MB
3	6f/b18dbe	271	NFCORE_TAXPROFILER:TAXPROFILER:SHORTREAD_PREPROCESSING:SHORTREAD_FASTP:FASTP_PAIRED (2604_lar)	COMPLETED	0	2026-05-23 05:49:29.885	14m 58s	10m 17s	521.8%	80 GB	81.2 GB	12.8 GB	5.5 GB
14	1d/46b08d	284	NFCORE_TAXPROFILER:TAXPROFILER:SHORTREAD_HOSTREMOVAL:BOWTIE2_ALIGN (2604_med)	COMPLETED	0	2026-05-23 05:58:13.179	11m 50s	10m 36s	1437.8%	15.1 GB	17.9 GB	59 GB	57.9 GB
21	ec/eb4cfc	292	NFCORE_TAXPROFILER:TAXPROFILER:PROFILING:CENTRIFUGE_CENTRIFUGE (benchmark_10000-centrifuge|2604_sma)	COMPLETED	0	2026-05-23 05:59:28.387	10m 50s	5m 36s	96.7%	10.8 GB	12.2 GB	11.3 GB	557.4 MB
