id,taxid,fasta_dna,fasta_aa
GCF_900660525.1,2112,/ptmp/jfellowsy/projects/taxprofiler-createtaxdb-paper/benchmarking/ncbi_genomes/ncbi_dataset/data/GCF_900660525.1/GCF_900660525.1_50861_G01-3_genomic.fna,/ptmp/jfellowsy/projects/taxprofiler-createtaxdb-paper/benchmarking/ncbi_genomes/ncbi_dataset/data/GCF_900660525.1/GCF_900660525.1_50861_G01-3_protein.faa
GCF_037975425.1,2975299,/ptmp/jfellowsy/projects/taxprofiler-createtaxdb-paper/benchmarking/ncbi_genomes/ncbi_dataset/data/GCF_037975425.1/GCF_037975425.1_PS01574_genomic.fna,/ptmp/jfellowsy/projects/taxprofiler-createtaxdb-paper/benchmarking/ncbi_genomes/ncbi_dataset/data/GCF_037975425.1/GCF_037975425.1_PS01574_protein.faa
GCF_946902045.1,2972775,/ptmp/jfellowsy/projects/taxprofiler-createtaxdb-paper/benchmarking/ncbi_genomes/ncbi_dataset/data/GCF_946902045.1/GCF_946902045.1_PRJEB55195_genomic.fna,/ptmp/jfellowsy/projects/taxprofiler-createtaxdb-paper/benchmarking/ncbi_genomes/ncbi_dataset/data/GCF_946902045.1/GCF_946902045.1_PRJEB55195_protein.faa
GCF_000863445.1,3240562,/ptmp/jfellowsy/projects/taxprofiler-createtaxdb-paper/benchmarking/ncbi_genomes/ncbi_dataset/data/GCF_000863445.1/GCF_000863445.1_ViralProj15404_genomic.fna,/ptmp/jfellowsy/projects/taxprofiler-createtaxdb-paper/benchmarking/ncbi_genomes/ncbi_dataset/data/GCF_000863445.1/GCF_000863445.1_ViralProj15404_protein.faa
GCF_006965365.1,2956395,/ptmp/jfellowsy/projects/taxprofiler-createtaxdb-paper/benchmarking/ncbi_genomes/ncbi_dataset/data/GCF_006965365.1/GCF_006965365.1_ASM696536v1_genomic.fna,/ptmp/jfellowsy/projects/taxprofiler-createtaxdb-paper/benchmarking/ncbi_genomes/ncbi_dataset/data/GCF_006965365.1/GCF_006965365.1_ASM696536v1_protein.faa
GCF_002024505.1,150123,/ptmp/jfellowsy/projects/taxprofiler-createtaxdb-paper/benchmarking/ncbi_genomes/ncbi_dataset/data/GCF_002024505.1/GCF_002024505.1_ASM202450v1_genomic.fna,/ptmp/jfellowsy/projects/taxprofiler-createtaxdb-paper/benchmarking/ncbi_genomes/ncbi_dataset/data/GCF_002024505.1/GCF_002024505.1_ASM202450v1_protein.faa
GCF_019134555.1,1085,/ptmp/jfellowsy/projects/taxprofiler-createtaxdb-paper/benchmarking/ncbi_genomes/ncbi_dataset/data/GCF_019134555.1/GCF_019134555.1_ASM1913455v1_genomic.fna,/ptmp/jfellowsy/projects/taxprofiler-createtaxdb-paper/benchmarking/ncbi_genomes/ncbi_dataset/data/GCF_019134555.1/GCF_019134555.1_ASM1913455v1_protein.faa
GCF_900105335.1,199592,/ptmp/jfellowsy/projects/taxprofiler-createtaxdb-paper/benchmarking/ncbi_genomes/ncbi_dataset/data/GCF_900105335.1/GCF_900105335.1_IMG-taxon_2634166897_annotated_assembly_genomic.fna,/ptmp/jfellowsy/projects/taxprofiler-createtaxdb-paper/benchmarking/ncbi_genomes/ncbi_dataset/data/GCF_900105335.1/GCF_900105335.1_IMG-taxon_2634166897_annotated_assembly_protein.faa
GCF_900187185.1,536441,/ptmp/jfellowsy/projects/taxprofiler-createtaxdb-paper/benchmarking/ncbi_genomes/ncbi_dataset/data/GCF_900187185.1/GCF_900187185.1_50618_E01_genomic.fna,/ptmp/jfellowsy/projects/taxprofiler-createtaxdb-paper/benchmarking/ncbi_genomes/ncbi_dataset/data/GCF_900187185.1/GCF_900187185.1_50618_E01_protein.faa
GCF_029887025.1,3060662,/ptmp/jfellowsy/projects/taxprofiler-createtaxdb-paper/benchmarking/ncbi_genomes/ncbi_dataset/data/GCF_029887025.1/GCF_029887025.1_ASM2988702v1_genomic.fna,/ptmp/jfellowsy/projects/taxprofiler-createtaxdb-paper/benchmarking/ncbi_genomes/ncbi_dataset/data/GCF_029887025.1/GCF_029887025.1_ASM2988702v1_protein.faa
GCF_016592555.1,417574,/ptmp/jfellowsy/projects/taxprofiler-createtaxdb-paper/benchmarking/ncbi_genomes/ncbi_dataset/data/GCF_016592555.1/GCF_016592555.1_ASM1659255v1_genomic.fna,/ptmp/jfellowsy/projects/taxprofiler-createtaxdb-paper/benchmarking/ncbi_genomes/ncbi_dataset/data/GCF_016592555.1/GCF_016592555.1_ASM1659255v1_protein.faa
GCF_000875505.1,546185,/ptmp/jfellowsy/projects/taxprofiler-createtaxdb-paper/benchmarking/ncbi_genomes/ncbi_dataset/data/GCF_000875505.1/GCF_000875505.1_ViralProj30699_genomic.fna,/ptmp/jfellowsy/projects/taxprofiler-createtaxdb-paper/benchmarking/ncbi_genomes/ncbi_dataset/data/GCF_000875505.1/GCF_000875505.1_ViralProj30699_protein.faa
GCF_002602565.1,2560634,/ptmp/jfellowsy/projects/taxprofiler-createtaxdb-paper/benchmarking/ncbi_genomes/ncbi_dataset/data/GCF_002602565.1/GCF_002602565.1_ASM260256v1_genomic.fna,/ptmp/jfellowsy/projects/taxprofiler-createtaxdb-paper/benchmarking/ncbi_genomes/ncbi_dataset/data/GCF_002602565.1/GCF_002602565.1_ASM260256v1_protein.faa
GCF_006965005.1,2591214,/ptmp/jfellowsy/projects/taxprofiler-createtaxdb-paper/benchmarking/ncbi_genomes/ncbi_dataset/data/GCF_006965005.1/GCF_006965005.1_ASM696500v1_genomic.fna,/ptmp/jfellowsy/projects/taxprofiler-createtaxdb-paper/benchmarking/ncbi_genomes/ncbi_dataset/data/GCF_006965005.1/GCF_006965005.1_ASM696500v1_protein.faa
GCF_033555435.1,159,/ptmp/jfellowsy/projects/taxprofiler-createtaxdb-paper/benchmarking/ncbi_genomes/ncbi_dataset/data/GCF_033555435.1/GCF_033555435.1_ASM3355543v1_genomic.fna,/ptmp/jfellowsy/projects/taxprofiler-createtaxdb-paper/benchmarking/ncbi_genomes/ncbi_dataset/data/GCF_033555435.1/GCF_033555435.1_ASM3355543v1_protein.faa
GCF_018582895.1,2016460,/ptmp/jfellowsy/projects/taxprofiler-createtaxdb-paper/benchmarking/ncbi_genomes/ncbi_dataset/data/GCF_018582895.1/GCF_018582895.1_ASM1858289v1_genomic.fna,/ptmp/jfellowsy/projects/taxprofiler-createtaxdb-paper/benchmarking/ncbi_genomes/ncbi_dataset/data/GCF_018582895.1/GCF_018582895.1_ASM1858289v1_protein.faa
