id,taxid,fasta_dna,fasta_aa
GCF_934924865.1,2925782,/ptmp/jfellowsy/projects/taxprofiler-createtaxdb-paper/benchmarking/ncbi_genomes/ncbi_dataset/data/GCF_934924865.1/GCF_934924865.1_Tepidibacter_sp_8C15b_genomic.fna,/ptmp/jfellowsy/projects/taxprofiler-createtaxdb-paper/benchmarking/ncbi_genomes/ncbi_dataset/data/GCF_934924865.1/GCF_934924865.1_Tepidibacter_sp_8C15b_protein.faa
GCF_000869365.1,377610,/ptmp/jfellowsy/projects/taxprofiler-createtaxdb-paper/benchmarking/ncbi_genomes/ncbi_dataset/data/GCF_000869365.1/GCF_000869365.1_ViralProj17593_genomic.fna,/ptmp/jfellowsy/projects/taxprofiler-createtaxdb-paper/benchmarking/ncbi_genomes/ncbi_dataset/data/GCF_000869365.1/GCF_000869365.1_ViralProj17593_protein.faa
GCF_041475745.1,487545,/ptmp/jfellowsy/projects/taxprofiler-createtaxdb-paper/benchmarking/ncbi_genomes/ncbi_dataset/data/GCF_041475745.1/GCF_041475745.1_NCPPB2866v1_ONT_genomic.fna,/ptmp/jfellowsy/projects/taxprofiler-createtaxdb-paper/benchmarking/ncbi_genomes/ncbi_dataset/data/GCF_041475745.1/GCF_041475745.1_NCPPB2866v1_ONT_protein.faa
GCF_052446685.1,3458628,/ptmp/jfellowsy/projects/taxprofiler-createtaxdb-paper/benchmarking/ncbi_genomes/ncbi_dataset/data/GCF_052446685.1/GCF_052446685.1_ASM5244668v1_genomic.fna,/ptmp/jfellowsy/projects/taxprofiler-createtaxdb-paper/benchmarking/ncbi_genomes/ncbi_dataset/data/GCF_052446685.1/GCF_052446685.1_ASM5244668v1_protein.faa
GCF_002607305.1,2956137,/ptmp/jfellowsy/projects/taxprofiler-createtaxdb-paper/benchmarking/ncbi_genomes/ncbi_dataset/data/GCF_002607305.1/GCF_002607305.1_ASM260730v1_genomic.fna,/ptmp/jfellowsy/projects/taxprofiler-createtaxdb-paper/benchmarking/ncbi_genomes/ncbi_dataset/data/GCF_002607305.1/GCF_002607305.1_ASM260730v1_protein.faa
GCF_024508295.1,2968086,/ptmp/jfellowsy/projects/taxprofiler-createtaxdb-paper/benchmarking/ncbi_genomes/ncbi_dataset/data/GCF_024508295.1/GCF_024508295.1_ASM2450829v1_genomic.fna,/ptmp/jfellowsy/projects/taxprofiler-createtaxdb-paper/benchmarking/ncbi_genomes/ncbi_dataset/data/GCF_024508295.1/GCF_024508295.1_ASM2450829v1_protein.faa
GCF_003862015.1,2845154,/ptmp/jfellowsy/projects/taxprofiler-createtaxdb-paper/benchmarking/ncbi_genomes/ncbi_dataset/data/GCF_003862015.1/GCF_003862015.1_ASM386201v1_genomic.fna,/ptmp/jfellowsy/projects/taxprofiler-createtaxdb-paper/benchmarking/ncbi_genomes/ncbi_dataset/data/GCF_003862015.1/GCF_003862015.1_ASM386201v1_protein.faa
GCF_001904925.1,1920698,/ptmp/jfellowsy/projects/taxprofiler-createtaxdb-paper/benchmarking/ncbi_genomes/ncbi_dataset/data/GCF_001904925.1/GCF_001904925.1_ViralProj356613_genomic.fna,/ptmp/jfellowsy/projects/taxprofiler-createtaxdb-paper/benchmarking/ncbi_genomes/ncbi_dataset/data/GCF_001904925.1/GCF_001904925.1_ViralProj356613_protein.faa
GCF_032821795.1,3036709,/ptmp/jfellowsy/projects/taxprofiler-createtaxdb-paper/benchmarking/ncbi_genomes/ncbi_dataset/data/GCF_032821795.1/GCF_032821795.1_ASM3282179v1_genomic.fna,/ptmp/jfellowsy/projects/taxprofiler-createtaxdb-paper/benchmarking/ncbi_genomes/ncbi_dataset/data/GCF_032821795.1/GCF_032821795.1_ASM3282179v1_protein.faa
GCF_020488355.1,3059700,/ptmp/jfellowsy/projects/taxprofiler-createtaxdb-paper/benchmarking/ncbi_genomes/ncbi_dataset/data/GCF_020488355.1/GCF_020488355.1_ASM2048835v1_genomic.fna,/ptmp/jfellowsy/projects/taxprofiler-createtaxdb-paper/benchmarking/ncbi_genomes/ncbi_dataset/data/GCF_020488355.1/GCF_020488355.1_ASM2048835v1_protein.faa
