task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
3	19/aa72d9	164	NFCORE_TAXPROFILER:TAXPROFILER:SHORTREAD_PREPROCESSING:SHORTREAD_FASTP:FASTP_PAIRED (2604_med)	COMPLETED	0	2026-05-20 07:48:04.187	6m 42s	2m 1s	807.0%	6.3 GB	7.3 GB	5.6 GB	3.2 GB
1	1c/a71536	167	NFCORE_TAXPROFILER:TAXPROFILER:SHORTREAD_PREPROCESSING:SHORTREAD_FASTP:FASTP_PAIRED (2604_sma)	COMPLETED	0	2026-05-20 07:48:04.255	6m 57s	12.5s	258.1%	5.6 GB	6.6 GB	242.7 MB	72.5 MB
2	90/5abf78	166	NFCORE_TAXPROFILER:TAXPROFILER:FASTQC (2604_sma)	COMPLETED	0	2026-05-20 07:48:04.233	7m 7s	9s	198.3%	5.4 GB	40.3 GB	194.4 MB	3.9 MB
10	72/a5214c	171	NFCORE_TAXPROFILER:TAXPROFILER:SHORTREAD_COMPLEXITYFILTERING:BBMAP_BBDUK (2604_sma)	COMPLETED	0	2026-05-20 07:55:01.726	24.9s	2.4s	587.1%	655.4 MB	42.3 GB	655.5 MB	649.1 MB
11	c1/223fe2	172	NFCORE_TAXPROFILER:TAXPROFILER:SHORTREAD_PREPROCESSING:FASTQC_PROCESSED (2604_sma)	COMPLETED	0	2026-05-20 07:55:01.751	34.9s	6s	211.2%	1.2 GB	40.3 GB	83.8 MB	3.8 MB
8	f2/805a5f	168	NFCORE_TAXPROFILER:TAXPROFILER:SHORTREAD_COMPLEXITYFILTERING:BBMAP_BBDUK (2604_med)	COMPLETED	0	2026-05-20 07:54:47.872	1m 44s	1m 5s	857.3%	4.3 GB	44.3 GB	30.6 GB	30.5 GB
7	72/810f52	170	NFCORE_TAXPROFILER:TAXPROFILER:SHORTREAD_PREPROCESSING:FASTQC_PROCESSED (2604_med)	COMPLETED	0	2026-05-20 07:54:47.982	2m 14s	1m 58s	203.4%	8.9 GB	40.3 GB	3.2 GB	4.2 MB
13	c4/db3f25	174	NFCORE_TAXPROFILER:TAXPROFILER:SHORTREAD_HOSTREMOVAL:BOWTIE2_ALIGN (2604_sma)	COMPLETED	0	2026-05-20 07:55:26.729	2m 20s	59s	398.9%	4.1 GB	14.4 GB	4.6 GB	1.2 GB
9	83/95020f	169	NFCORE_TAXPROFILER:TAXPROFILER:NONPAREIL:NONPAREIL_NONPAREIL (2604_med)	COMPLETED	0	2026-05-20 07:54:47.915	3m 14s	2m 18s	71.6%	8.8 MB	233.3 MB	8.7 GB	7 GB
5	71/a609fe	162	NFCORE_TAXPROFILER:TAXPROFILER:FASTQC (2604_med)	COMPLETED	0	2026-05-20 07:48:04.132	10m 3s	3m 2s	201.6%	9.7 GB	40.3 GB	5.5 GB	4.1 MB
15	c3/fd7423	176	NFCORE_TAXPROFILER:TAXPROFILER:SHORTREAD_HOSTREMOVAL:SAMTOOLS_INDEX (2604_sma)	COMPLETED	0	2026-05-20 07:57:46.745	3m 5s	1s	161.0%	9.9 MB	231.7 MB	57.7 MB	1.8 MB
27	4c/55ee0a	188	NFCORE_TAXPROFILER:TAXPROFILER:SHORTREAD_HOSTREMOVAL:SAMTOOLS_STATS (2604_sma)	COMPLETED	0	2026-05-20 08:00:51.800	19.9s	2s	155.8%	9.5 MB	222.2 MB	57.8 MB	110.6 KB
26	55/09988b	187	NFCORE_TAXPROFILER:TAXPROFILER:NONPAREIL:NONPAREIL_CURVE (2604_med)	COMPLETED	0	2026-05-20 07:58:01.727	3m 30s	1s	401.3%	3.2 MB	4.3 MB	6.2 MB	28.1 KB
12	47/4f2b1f	173	NFCORE_TAXPROFILER:TAXPROFILER:NONPAREIL:NONPAREIL_NONPAREIL (2604_sma)	COMPLETED	0	2026-05-20 07:55:01.776	6m 40s	7s	122.7%	10.6 MB	285.4 MB	265.6 MB	150.8 MB
28	b0/1e2ebe	189	NFCORE_TAXPROFILER:TAXPROFILER:NONPAREIL:NONPAREIL_CURVE (2604_sma)	COMPLETED	0	2026-05-20 08:01:41.732	25s	1s	445.3%	3.1 MB	4.3 MB	6.2 MB	26.7 KB
4	b9/e8f633	165	NFCORE_TAXPROFILER:TAXPROFILER:SHORTREAD_PREPROCESSING:SHORTREAD_FASTP:FASTP_PAIRED (2604_lar)	COMPLETED	0	2026-05-20 07:48:04.209	14m 42s	10m	532.8%	80 GB	81.2 GB	12.8 GB	5.5 GB
