task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
4	00/96b9a1	47	NFCORE_TAXPROFILER:TAXPROFILER:SHORTREAD_PREPROCESSING:SHORTREAD_FASTP:FASTP_PAIRED (2604_lar)	CACHED	0	2026-05-11 15:20:39.881	15m 3s	10m 7s	529.5%	80 GB	81.2 GB	12.8 GB	5.5 GB
3	3a/73d0f2	46	NFCORE_TAXPROFILER:TAXPROFILER:SHORTREAD_PREPROCESSING:SHORTREAD_FASTP:FASTP_PAIRED (2604_med)	CACHED	0	2026-05-11 15:20:39.853	7m 3s	2m 2s	806.5%	6.3 GB	7.3 GB	5.6 GB	3.2 GB
2	b7/212596	48	NFCORE_TAXPROFILER:TAXPROFILER:SHORTREAD_PREPROCESSING:SHORTREAD_FASTP:FASTP_PAIRED (2604_sma)	CACHED	0	2026-05-11 15:20:39.908	7m 18s	12.3s	257.3%	5.6 GB	6.6 GB	242.7 MB	72.5 MB
6	5c/f376f3	43	NFCORE_TAXPROFILER:TAXPROFILER:FASTQC (2604_lar)	CACHED	0	2026-05-11 15:20:39.766	15m 13s	7m 54s	195.4%	9.4 GB	40.3 GB	12.8 GB	3.8 MB
5	bc/40f1c3	44	NFCORE_TAXPROFILER:TAXPROFILER:FASTQC (2604_med)	CACHED	0	2026-05-11 15:20:39.798	10m 23s	3m 3s	200.3%	9.7 GB	40.3 GB	5.5 GB	4.1 MB
1	b0/667acc	45	NFCORE_TAXPROFILER:TAXPROFILER:FASTQC (2604_sma)	CACHED	0	2026-05-11 15:20:39.826	7m 28s	9s	217.3%	3.6 GB	40.3 GB	194.4 MB	3.9 MB
10	6e/7e8e3b	49	NFCORE_TAXPROFILER:TAXPROFILER:SHORTREAD_COMPLEXITYFILTERING:BBMAP_BBDUK (2604_med)	CACHED	0	2026-05-11 15:27:44.390	1m 54s	1m 17s	750.8%	4.2 GB	44.4 GB	30.6 GB	30.5 GB
7	0a/9684de	73	NFCORE_TAXPROFILER:TAXPROFILER:SHORTREAD_PREPROCESSING:FASTQC_PROCESSED (2604_lar)	CACHED	0	2026-05-11 15:35:43.215	42m 40s	3m 41s	201.0%	9.1 GB	40.3 GB	5.6 GB	3.8 MB
15	eb/7d9433	53	NFCORE_TAXPROFILER:TAXPROFILER:NONPAREIL:NONPAREIL_NONPAREIL (2604_sma)	CACHED	0	2026-05-11 15:27:58.168	6m 45s	8s	139.2%	10.9 MB	221.4 MB	265.6 MB	150.8 MB
8	cd/a1ac6b	71	NFCORE_TAXPROFILER:TAXPROFILER:SHORTREAD_COMPLEXITYFILTERING:BBMAP_BBDUK (2604_lar)	CACHED	0	2026-05-11 15:35:43.161	39m	1m 28s	1088.2%	6.9 GB	44.5 GB	62.7 GB	62.4 GB
13	50/721305	52	NFCORE_TAXPROFILER:TAXPROFILER:SHORTREAD_COMPLEXITYFILTERING:BBMAP_BBDUK (2604_sma)	CACHED	0	2026-05-11 15:27:58.141	24.9s	2.3s	590.1%	591.7 MB	42.1 GB	655.5 MB	649.1 MB
9	f9/3c1447	51	NFCORE_TAXPROFILER:TAXPROFILER:SHORTREAD_PREPROCESSING:FASTQC_PROCESSED (2604_med)	CACHED	0	2026-05-11 15:27:44.722	2m 13s	2m 2s	199.2%	9.7 GB	40.3 GB	3.2 GB	4.2 MB
11	b2/5149b3	72	NFCORE_TAXPROFILER:TAXPROFILER:NONPAREIL:NONPAREIL_NONPAREIL (2604_lar)	CACHED	0	2026-05-11 15:35:43.188	6m 40s	6m 8s	53.3%	9.6 MB	285.3 MB	17.7 GB	14.9 GB
14	3b/9322e3	54	NFCORE_TAXPROFILER:TAXPROFILER:SHORTREAD_PREPROCESSING:FASTQC_PROCESSED (2604_sma)	CACHED	0	2026-05-11 15:27:58.195	34.9s	5s	210.2%	1.2 GB	40.3 GB	83.8 MB	3.8 MB
12	e0/1911d5	50	NFCORE_TAXPROFILER:TAXPROFILER:NONPAREIL:NONPAREIL_NONPAREIL (2604_med)	CACHED	0	2026-05-11 15:27:44.607	4m 23s	3m 32s	50.3%	9.6 MB	221.3 MB	8.7 GB	7 GB
16	ac/b5a1e4	56	NFCORE_TAXPROFILER:TAXPROFILER:SHORTREAD_HOSTREMOVAL:BOWTIE2_ALIGN (2604_med)	CACHED	0	2026-05-11 15:29:38.142	11m 30s	10m 16s	1465.8%	15.1 GB	17.8 GB	59 GB	57.9 GB
21	32/ba6cbf	68	NFCORE_TAXPROFILER:TAXPROFILER:NONPAREIL:NONPAREIL_CURVE (2604_med)	CACHED	0	2026-05-11 15:32:08.142	2m 25s	1s	369.0%	3.1 MB	4.3 MB	6.2 MB	28.1 KB
