task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
3	bc/40f1c3	44	NFCORE_TAXPROFILER:TAXPROFILER:FASTQC (2604_med)	CACHED	0	2026-05-11 15:20:39.798	10m 23s	3m 3s	200.3%	9.7 GB	40.3 GB	5.5 GB	4.1 MB
1	b7/212596	48	NFCORE_TAXPROFILER:TAXPROFILER:SHORTREAD_PREPROCESSING:SHORTREAD_FASTP:FASTP_PAIRED (2604_sma)	CACHED	0	2026-05-11 15:20:39.908	7m 18s	12.3s	257.3%	5.6 GB	6.6 GB	242.7 MB	72.5 MB
2	b0/667acc	45	NFCORE_TAXPROFILER:TAXPROFILER:FASTQC (2604_sma)	CACHED	0	2026-05-11 15:20:39.826	7m 28s	9s	217.3%	3.6 GB	40.3 GB	194.4 MB	3.9 MB
6	00/96b9a1	47	NFCORE_TAXPROFILER:TAXPROFILER:SHORTREAD_PREPROCESSING:SHORTREAD_FASTP:FASTP_PAIRED (2604_lar)	CACHED	0	2026-05-11 15:20:39.881	15m 3s	10m 7s	529.5%	80 GB	81.2 GB	12.8 GB	5.5 GB
5	3a/73d0f2	46	NFCORE_TAXPROFILER:TAXPROFILER:SHORTREAD_PREPROCESSING:SHORTREAD_FASTP:FASTP_PAIRED (2604_med)	CACHED	0	2026-05-11 15:20:39.853	7m 3s	2m 2s	806.5%	6.3 GB	7.3 GB	5.6 GB	3.2 GB
4	5c/f376f3	43	NFCORE_TAXPROFILER:TAXPROFILER:FASTQC (2604_lar)	CACHED	0	2026-05-11 15:20:39.766	15m 13s	7m 54s	195.4%	9.4 GB	40.3 GB	12.8 GB	3.8 MB
10	eb/7d9433	53	NFCORE_TAXPROFILER:TAXPROFILER:NONPAREIL:NONPAREIL_NONPAREIL (2604_sma)	CACHED	0	2026-05-11 15:27:58.168	6m 45s	8s	139.2%	10.9 MB	221.4 MB	265.6 MB	150.8 MB
8	3b/9322e3	54	NFCORE_TAXPROFILER:TAXPROFILER:SHORTREAD_PREPROCESSING:FASTQC_PROCESSED (2604_sma)	CACHED	0	2026-05-11 15:27:58.195	34.9s	5s	210.2%	1.2 GB	40.3 GB	83.8 MB	3.8 MB
9	cd/a1ac6b	71	NFCORE_TAXPROFILER:TAXPROFILER:SHORTREAD_COMPLEXITYFILTERING:BBMAP_BBDUK (2604_lar)	CACHED	0	2026-05-11 15:35:43.161	39m	1m 28s	1088.2%	6.9 GB	44.5 GB	62.7 GB	62.4 GB
11	b2/5149b3	72	NFCORE_TAXPROFILER:TAXPROFILER:NONPAREIL:NONPAREIL_NONPAREIL (2604_lar)	CACHED	0	2026-05-11 15:35:43.188	6m 40s	6m 8s	53.3%	9.6 MB	285.3 MB	17.7 GB	14.9 GB
13	f9/3c1447	51	NFCORE_TAXPROFILER:TAXPROFILER:SHORTREAD_PREPROCESSING:FASTQC_PROCESSED (2604_med)	CACHED	0	2026-05-11 15:27:44.722	2m 13s	2m 2s	199.2%	9.7 GB	40.3 GB	3.2 GB	4.2 MB
14	e0/1911d5	50	NFCORE_TAXPROFILER:TAXPROFILER:NONPAREIL:NONPAREIL_NONPAREIL (2604_med)	CACHED	0	2026-05-11 15:27:44.607	4m 23s	3m 32s	50.3%	9.6 MB	221.3 MB	8.7 GB	7 GB
15	6e/7e8e3b	49	NFCORE_TAXPROFILER:TAXPROFILER:SHORTREAD_COMPLEXITYFILTERING:BBMAP_BBDUK (2604_med)	CACHED	0	2026-05-11 15:27:44.390	1m 54s	1m 17s	750.8%	4.2 GB	44.4 GB	30.6 GB	30.5 GB
7	50/721305	52	NFCORE_TAXPROFILER:TAXPROFILER:SHORTREAD_COMPLEXITYFILTERING:BBMAP_BBDUK (2604_sma)	CACHED	0	2026-05-11 15:27:58.141	24.9s	2.3s	590.1%	591.7 MB	42.1 GB	655.5 MB	649.1 MB
12	0a/9684de	73	NFCORE_TAXPROFILER:TAXPROFILER:SHORTREAD_PREPROCESSING:FASTQC_PROCESSED (2604_lar)	CACHED	0	2026-05-11 15:35:43.215	42m 40s	3m 41s	201.0%	9.1 GB	40.3 GB	5.6 GB	3.8 MB
16	ca/f1ca9e	70	NFCORE_TAXPROFILER:TAXPROFILER:NONPAREIL:NONPAREIL_CURVE (2604_sma)	CACHED	0	2026-05-11 15:34:43.152	30s	1s	455.3%	3 MB	4.3 MB	6.2 MB	26.6 KB
18	d6/08d5e9	85	NFCORE_TAXPROFILER:TAXPROFILER:NONPAREIL:NONPAREIL_CURVE (2604_lar)	CACHED	0	2026-05-11 15:42:24.171	19s	1s	257.8%	3.1 MB	4.3 MB	6.2 MB	28.7 KB
19	32/ba6cbf	68	NFCORE_TAXPROFILER:TAXPROFILER:NONPAREIL:NONPAREIL_CURVE (2604_med)	CACHED	0	2026-05-11 15:32:08.142	2m 25s	1s	369.0%	3.1 MB	4.3 MB	6.2 MB	28.1 KB
22	87/70bdaa	87	NFCORE_TAXPROFILER:TAXPROFILER:NONPAREIL:NONPAREIL_SET (all)	CACHED	0	2026-05-11 15:42:24.218	18.9s	1s	185.7%	3.1 MB	4.3 MB	6.2 MB	43.3 KB
23	76/a39b36	86	NFCORE_TAXPROFILER:TAXPROFILER:NONPAREIL:NONPAREIL_NONPAREILCURVESR (all)	CACHED	0	2026-05-11 15:42:24.196	19s	1s	191.7%	3.1 MB	4.3 MB	6.4 MB	232.4 KB
17	4a/5bd324	95	NFCORE_TAXPROFILER:TAXPROFILER:SHORTREAD_HOSTREMOVAL:BOWTIE2_ALIGN (2604_lar)	CACHED	0	2026-05-12 03:22:04.821	28m 58s	24m 11s	1434.8%	15.3 GB	18.6 GB	117.3 GB	117.8 GB
20	ac/b5a1e4	56	NFCORE_TAXPROFILER:TAXPROFILER:SHORTREAD_HOSTREMOVAL:BOWTIE2_ALIGN (2604_med)	CACHED	0	2026-05-11 15:29:38.142	11m 30s	10m 16s	1465.8%	15.1 GB	17.8 GB	59 GB	57.9 GB
21	c8/ea00df	55	NFCORE_TAXPROFILER:TAXPROFILER:SHORTREAD_HOSTREMOVAL:BOWTIE2_ALIGN (2604_sma)	CACHED	0	2026-05-11 15:28:23.145	2m 30s	56.6s	419.4%	4 GB	14.4 GB	4.6 GB	1.2 GB
24	90/296e93	109	NFCORE_TAXPROFILER:TAXPROFILER:SHORTREAD_HOSTREMOVAL:SAMTOOLS_INDEX (2604_lar)	CACHED	0	2026-05-12 03:51:02.667	39.9s	31s	241.3%	21.4 MB	244.9 MB	4.4 GB	5 MB
25	6c/f20015	74	NFCORE_TAXPROFILER:TAXPROFILER:SHORTREAD_HOSTREMOVAL:SAMTOOLS_INDEX (2604_med)	CACHED	0	2026-05-11 15:41:08.221	34.9s	28s	186.6%	20.6 MB	242.5 MB	2.5 GB	4.4 MB
35	c2/e84566	57	NFCORE_TAXPROFILER:TAXPROFILER:SHORTREAD_HOSTREMOVAL:SAMTOOLS_INDEX (2604_sma)	CACHED	0	2026-05-11 15:30:53.160	3m 20s	1s	142.2%	3.1 MB	4.3 MB	57.7 MB	1.8 MB
36	98/ed15ab	75	NFCORE_TAXPROFILER:TAXPROFILER:PROFILING:KAIJU_KAIJU (benchmark_30000-kaiju|2604_med)	CACHED	0	2026-05-11 15:41:08.244	17m 35s	4m 25s	1768.2%	32.6 GB	34 GB	31.4 GB	1 GB
39	f5/351674	96	NFCORE_TAXPROFILER:TAXPROFILER:PROFILING:MOTUS_PROFILE (benchmark_30000-motus|2604_med)	CACHED	0	2026-05-12 03:22:04.845	45m 58s	16m 34s	568.9%	10.4 GB	10.8 GB	22.1 GB	13 GB
46	8e/f2a562	63	NFCORE_TAXPROFILER:TAXPROFILER:PROFILING:KMCP_SEARCH (benchmark_30000-kmcp|2604_sma)	CACHED	0	2026-05-11 15:30:53.350	54m 5s	31m 42s	46.7%	26.3 GB	27 GB	64.5 MB	1.4 GB
26	77/d333bb	114	NFCORE_TAXPROFILER:TAXPROFILER:PROFILING:KAIJU_KAIJU (benchmark_30000-kaiju|2604_lar)	CACHED	0	2026-05-12 03:51:02.784	18h 49m 53s	16m 3s	898.5%	32.6 GB	34 GB	33.2 GB	2 GB
45	12/58f4bc	64	NFCORE_TAXPROFILER:TAXPROFILER:PROFILING:KRAKEN2_KRAKEN2 (benchmark_30000-bracken|bracken|2604_sma)	CACHED	0	2026-05-11 15:30:53.379	41m 20s	18m 51s	17.0%	79.1 GB	80.1 GB	80.4 GB	295.9 MB
27	06/77f602	111	NFCORE_TAXPROFILER:TAXPROFILER:PROFILING:GANON_CLASSIFY (benchmark_30000-ganon|2604_lar)	CACHED	0	2026-05-12 03:51:02.713	18h 46m 3s	30m 39s	482.9%	51.1 GB	59.8 GB	88.5 GB	33 GB
