task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	71/9c67e5	26849407	NFCORE_CREATETAXDB:CREATETAXDB:PREPROCESSING:FIND_CONCATENATE_AA (benchmark_1000)	COMPLETED	0	2026-05-03 12:54:22.807	40.4s	27.8s	13.1%	7.5 MB	16.2 MB	837.3 MB	833.3 MB
6	d9/df0e31	26849404	NFCORE_CREATETAXDB:CREATETAXDB:SYLPH_SKETCHGENOMES (benchmark_1000)	COMPLETED	0	2026-05-03 12:54:20.029	1m 43s	2s	596.3%	341.8 MB	930.7 MB	2.3 GB	90.7 MB
5	38/606c72	26849409	NFCORE_CREATETAXDB:CREATETAXDB:PREPROCESSING:FIND_CONCATENATE_DNA (benchmark_1000)	COMPLETED	0	2026-05-03 12:54:25.369	1m 38s	24.7s	16.1%	11.5 MB	16.2 MB	2.3 GB	2.3 GB
2	08/981906	26849408	NFCORE_CREATETAXDB:CREATETAXDB:PREPROCESSING:SEQKIT_BATCHRENAME (benchmark_1000)	COMPLETED	0	2026-05-03 12:54:25.094	1m 38s	42s	108.1%	77.8 MB	1.3 GB	840.1 MB	694.2 MB
12	c8/513e66	26849421	NFCORE_CREATETAXDB:CREATETAXDB:PREPROCESSING:FIND_CONCATENATE_AA_KAIJU (benchmark_1000)	COMPLETED	0	2026-05-03 12:56:05.802	57.3s	20.8s	15.6%	3.4 MB	16.2 MB	698.2 MB	694.2 MB
8	8c/3e3ce9	26849410	NFCORE_CREATETAXDB:CREATETAXDB:GANON_BUILDCUSTOM (benchmark_1000)	COMPLETED	0	2026-05-03 12:54:27.658	2m 35s	1m 20s	303.9%	5 GB	8.4 GB	7.7 GB	4.7 GB
11	28/3a92b4	26849419	NFCORE_CREATETAXDB:CREATETAXDB:FASTA_BUILD_ADD_KRAKEN2_BRACKEN:KRAKEN2_ADD (benchmark_1000)	COMPLETED	0	2026-05-03 12:56:03.297	3m	2m 20s	96.2%	82.2 MB	112.7 MB	15.1 GB	12.8 GB
13	0c/3b1b4d	26849423	NFCORE_CREATETAXDB:CREATETAXDB:KAIJU_MKFMI (benchmark_1000)	COMPLETED	0	2026-05-03 12:57:03.374	2m	1m 34s	300.1%	3.4 GB	4.4 GB	1.5 GB	1.7 GB
3	7c/fb4128	26849406	NFCORE_CREATETAXDB:CREATETAXDB:KMCP_CREATE:KMCP_COMPUTE (benchmark_1000)	COMPLETED	0	2026-05-03 12:54:22.567	10m 41s	17s	3243.8%	11.8 GB	12.6 GB	2.3 GB	13.7 GB
9	30/580aae	26849416	NFCORE_CREATETAXDB:CREATETAXDB:DIAMOND_MAKEDB (benchmark_1000)	COMPLETED	0	2026-05-03 12:55:05.284	9m 58s	9m 29s	140.7%	2.9 GB	4.9 GB	49.2 GB	21.8 GB
4	28/8505d3	26849405	NFCORE_CREATETAXDB:CREATETAXDB:METACACHE_BUILD (benchmark_1000)	COMPLETED	0	2026-05-03 12:54:20.283	11m 45s	5m 12s	123.6%	12.7 GB	12.9 GB	15.3 GB	3.5 GB
15	34/85a9a3	26849469	NFCORE_CREATETAXDB:CREATETAXDB:KMCP_CREATE:KMCP_INDEX (benchmark_1000)	COMPLETED	0	2026-05-03 13:05:03.364	2m	59s	384.5%	1.1 GB	1.8 GB	13.7 GB	1.3 GB
10	59/850c12	26849420	NFCORE_CREATETAXDB:CREATETAXDB:CENTRIFUGE_BUILD (benchmark_1000)	COMPLETED	0	2026-05-03 12:56:03.461	13m	12m 3s	1269.1%	33.9 GB	40.2 GB	29.1 GB	19.2 GB
14	c5/1add0b	26849443	NFCORE_CREATETAXDB:CREATETAXDB:FASTA_BUILD_ADD_KRAKEN2_BRACKEN:KRAKEN2_BUILD (benchmark_1000)	COMPLETED	0	2026-05-03 12:59:04.120	20m 59s	14m 20s	1988.5%	29.8 GB	33.6 GB	15.7 GB	8.5 GB
16	22/1dbc4d	26849553	NFCORE_CREATETAXDB:CREATETAXDB:FASTA_BUILD_ADD_KRAKEN2_BRACKEN:BRACKEN_BUILD (benchmark_1000)	COMPLETED	0	2026-05-03 13:20:03.494	6m	4m 58s	211.7%	54 GB	56.1 GB	12.3 GB	412.6 MB
7	a3/670d08	26849403	NFCORE_CREATETAXDB:CREATETAXDB:KRAKENUNIQ_BUILD (benchmark_1000)	COMPLETED	0	2026-05-03 12:54:17.607	42m 46s	41m 30s	538.7%	54.5 GB	62.7 GB	75.5 GB	85.2 GB
17	27/d1a045	26849682	NFCORE_CREATETAXDB:CREATETAXDB:MULTIQC (createtaxdb)	COMPLETED	0	2026-05-03 13:37:03.618	59.6s	9.2s	41.8%	224.8 MB	1.4 GB	60.3 MB	4.4 MB
