task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
3	fe/cb079e	25697086	NFCORE_CREATETAXDB:CREATETAXDB:SYLPH_SKETCHGENOMES (benchmark)	COMPLETED	0	2026-03-25 10:38:21.644	6m 15s	1m 51s	260.2%	2.5 GB	2.8 GB	47.1 GB	1.8 GB
1	25/2b8090	25697083	NFCORE_CREATETAXDB:CREATETAXDB:PREPROCESSING:SEQKIT_BATCHRENAME (benchmark)	COMPLETED	0	2026-03-25 10:37:28.733	13m 8s	10m 49s	92.0%	83 MB	1.3 GB	8.4 GB	7 GB
2	7d/7f7c0b	25697084	NFCORE_CREATETAXDB:CREATETAXDB:PREPROCESSING:SEQKIT_BATCHRENAME (benchmark)	COMPLETED	0	2026-03-25 10:37:34.537	13m 2s	10m 47s	92.1%	83.3 MB	1.3 GB	8.3 GB	6.9 GB
5	cc/e7b3db	25697094	NFCORE_CREATETAXDB:CREATETAXDB:PREPROCESSING:FIND_CONCATENATE_AA (benchmark)	COMPLETED	0	2026-03-25 10:39:07.087	13m 30s	10m 30s	12.7%	13.8 MB	40.7 MB	16.7 GB	16.6 GB
4	18/99b102	25697090	NFCORE_CREATETAXDB:CREATETAXDB:PREPROCESSING:FIND_CONCATENATE_DNA (benchmark)	COMPLETED	0	2026-03-25 10:38:52.807	18m 44s	16m 2s	10.7%	17.8 MB	40.7 MB	47.2 GB	47.1 GB
9	01/6b7639	25697152	NFCORE_CREATETAXDB:CREATETAXDB:PREPROCESSING:FIND_CONCATENATE_AA_KAIJU (benchmark)	COMPLETED	0	2026-03-25 10:51:06.855	12m 30s	10m 9s	13.2%	15.9 MB	40.7 MB	13.9 GB	13.9 GB
8	6d/88c25f	25697095	NFCORE_CREATETAXDB:CREATETAXDB:GANON_BUILDCUSTOM (benchmark)	COMPLETED	0	2026-03-25 10:39:23.825	27m 13s	22m 35s	357.4%	39.6 GB	43 GB	148.5 GB	85.7 GB
10	f0/242c8a	25697157	NFCORE_CREATETAXDB:CREATETAXDB:DIAMOND_MAKEDB (benchmark)	COMPLETED	0	2026-03-25 10:52:37.069	18m	15m 17s	213.1%	5.1 GB	7.7 GB	66.3 GB	39.6 GB
14	c2/db2109	25697207	NFCORE_CREATETAXDB:CREATETAXDB:KAIJU_MKFMI (benchmark)	COMPLETED	0	2026-03-25 11:03:37.141	36m	32m 14s	405.4%	39.4 GB	48.1 GB	30.5 GB	35.5 GB
12	c7/c2b29d	25697181	NFCORE_CREATETAXDB:CREATETAXDB:FASTA_BUILD_ADD_KRAKEN2_BRACKEN:KRAKEN2_ADD (benchmark)	COMPLETED	0	2026-03-25 10:57:38.294	46m 59s	44m 30s	103.3%	94.6 MB	125.8 MB	194.4 GB	147.3 GB
6	69/14cc34	25697085	NFCORE_CREATETAXDB:CREATETAXDB:METACACHE_BUILD (benchmark)	COMPLETED	0	2026-03-25 10:37:56.723	4h 44m 41s	33m 10s	162.9%	70.3 GB	70.8 GB	47.6 GB	50.6 GB
13	16/bdc9f5	25697179	NFCORE_CREATETAXDB:CREATETAXDB:KMCP_CREATE:KMCP_COMPUTE (benchmark)	COMPLETED	0	2026-03-25 10:57:38.080	5h 39m	1h 8m 50s	327.4%	635.3 MB	1.5 GB	47.1 GB	281.9 GB
16	0b/f8c8a3	25700499	NFCORE_CREATETAXDB:CREATETAXDB:KMCP_CREATE:KMCP_INDEX (benchmark)	COMPLETED	0	2026-03-25 16:36:38.393	26m 1s	23m 11s	361.5%	19.1 GB	22.1 GB	281.9 GB	27.8 GB
15	56/d2c4f1	25697702	NFCORE_CREATETAXDB:CREATETAXDB:FASTA_BUILD_ADD_KRAKEN2_BRACKEN:KRAKEN2_BUILD (benchmark)	COMPLETED	0	2026-03-25 11:44:37.751	6h 18m 1s	3h 13m 9s	6841.4%	83.5 GB	91.6 GB	195.2 GB	152 GB
17	87/94a485	25701929	NFCORE_CREATETAXDB:CREATETAXDB:FASTA_BUILD_ADD_KRAKEN2_BRACKEN:BRACKEN_BUILD (benchmark)	COMPLETED	0	2026-03-25 18:02:38.860	13m	12m 29s	2137.6%	73.5 GB	77.2 GB	110.8 GB	18.5 GB
11	fa/fa6d64	25697180	NFCORE_CREATETAXDB:CREATETAXDB:CENTRIFUGE_BUILD (benchmark)	COMPLETED	0	2026-03-25 10:57:38.188	7h 40m 1s	3h 10m 3s	780.1%	472.6 GB	632 GB	472.7 GB	393.5 GB
7	cd/db334e	25697087	NFCORE_CREATETAXDB:CREATETAXDB:KRAKENUNIQ_BUILD (benchmark)	COMPLETED	0	2026-03-25 10:38:39.242	13h 17m	8h 25m 31s	515.7%	426.9 GB	432.2 GB	1.2 TB	1.4 TB
18	23/c13f0f	25703952	NFCORE_CREATETAXDB:CREATETAXDB:MULTIQC	COMPLETED	0	2026-03-25 23:55:39.972	2m 59s	10.3s	37.2%	168.5 MB	1004.9 MB	71.1 MB	17.1 MB
