task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
5	a7/865359	25727169	NFCORE_CREATETAXDB:CREATETAXDB:SYLPH_SKETCHGENOMES (benchmark)	COMPLETED	0	2026-03-27 13:28:26.597	1m 45s	3s	408.9%	362.9 MB	866.6 MB	2.3 GB	90.7 MB
3	35/2584a5	25727173	NFCORE_CREATETAXDB:CREATETAXDB:PREPROCESSING:FIND_CONCATENATE_AA (benchmark)	COMPLETED	0	2026-03-27 13:28:29.481	1m 42s	26.3s	13.6%	3.4 MB	16.2 MB	837.3 MB	833.3 MB
1	e3/21d036	25727174	NFCORE_CREATETAXDB:CREATETAXDB:PREPROCESSING:FIND_CONCATENATE_DNA (benchmark)	COMPLETED	0	2026-03-27 13:28:29.695	1m 42s	26.1s	15.5%	11.5 MB	16.2 MB	2.3 GB	2.3 GB
6	bb/26a878	25727172	NFCORE_CREATETAXDB:CREATETAXDB:PREPROCESSING:SEQKIT_BATCHRENAME (benchmark)	COMPLETED	0	2026-03-27 13:28:28.894	1m 43s	40s	109.6%	76.9 MB	1.3 GB	840.1 MB	694.2 MB
4	38/37a27d	25727170	NFCORE_CREATETAXDB:CREATETAXDB:METACACHE_BUILD (benchmark)	COMPLETED	0	2026-03-27 13:28:27.669	3m 44s	1m 54s	155.3%	12.7 GB	12.9 GB	2.8 GB	3.5 GB
7	98/7c7e12	25727175	NFCORE_CREATETAXDB:CREATETAXDB:GANON_BUILDCUSTOM (benchmark)	COMPLETED	0	2026-03-27 13:28:29.905	3m 42s	1m 9s	305.8%	4.8 GB	8.5 GB	7.7 GB	4.7 GB
8	21/1b6bb1	25727236	NFCORE_CREATETAXDB:CREATETAXDB:FASTA_BUILD_ADD_KRAKEN2_BRACKEN:KRAKEN2_ADD (benchmark)	COMPLETED	0	2026-03-27 13:30:13.096	2m 59s	2m 19s	96.4%	85.3 MB	112.7 MB	15.1 GB	12.8 GB
12	0a/78dba2	25727240	NFCORE_CREATETAXDB:CREATETAXDB:PREPROCESSING:FIND_CONCATENATE_AA_KAIJU (benchmark)	COMPLETED	0	2026-03-27 13:30:16.682	2m 55s	31.8s	11.6%	5.5 MB	16.2 MB	698.2 MB	694.2 MB
10	20/2d50e7	25727238	NFCORE_CREATETAXDB:CREATETAXDB:KMCP_CREATE:KMCP_COMPUTE (benchmark)	COMPLETED	0	2026-03-27 13:30:13.443	4m 58s	2m 53s	254.9%	530.2 MB	1.3 GB	2.3 GB	13.8 GB
14	d2/6c00b5	25727262	NFCORE_CREATETAXDB:CREATETAXDB:KAIJU_MKFMI (benchmark)	COMPLETED	0	2026-03-27 13:33:12.392	2m 59s	1m 44s	298.4%	3.1 GB	4 GB	1.5 GB	1.7 GB
15	30/2f575a	25727279	NFCORE_CREATETAXDB:CREATETAXDB:KMCP_CREATE:KMCP_INDEX (benchmark)	COMPLETED	0	2026-03-27 13:35:12.028	3m	1m 4s	363.4%	1.1 GB	1.8 GB	13.8 GB	1.3 GB
11	4b/2a9b67	25727237	NFCORE_CREATETAXDB:CREATETAXDB:DIAMOND_MAKEDB (benchmark)	COMPLETED	0	2026-03-27 13:30:13.278	10m 59s	9m 43s	139.3%	2.9 GB	4.9 GB	49.2 GB	21.8 GB
13	77/fed65a	25727261	NFCORE_CREATETAXDB:CREATETAXDB:FASTA_BUILD_ADD_KRAKEN2_BRACKEN:KRAKEN2_BUILD (benchmark)	COMPLETED	0	2026-03-27 13:33:12.273	18m	13m 52s	1948.4%	29.8 GB	34 GB	15.7 GB	8.5 GB
16	fb/684da8	25727678	NFCORE_CREATETAXDB:CREATETAXDB:FASTA_BUILD_ADD_KRAKEN2_BRACKEN:BRACKEN_BUILD (benchmark)	COMPLETED	0	2026-03-27 13:51:12.984	5m 59s	5m 7s	207.7%	54 GB	56.2 GB	12.3 GB	412.6 MB
2	e1/c0c34c	25727171	NFCORE_CREATETAXDB:CREATETAXDB:KRAKENUNIQ_BUILD (benchmark)	COMPLETED	0	2026-03-27 13:28:28.594	35m 43s	34m 46s	548.9%	49.1 GB	53.8 GB	69.6 GB	85 GB
9	74/dc95d8	25727239	NFCORE_CREATETAXDB:CREATETAXDB:CENTRIFUGE_BUILD (benchmark)	COMPLETED	0	2026-03-27 13:30:13.561	46m 58s	12m 38s	1272.2%	33.9 GB	40 GB	29.1 GB	19.2 GB
17	0a/a582ba	25728460	NFCORE_CREATETAXDB:CREATETAXDB:MULTIQC	COMPLETED	0	2026-03-27 14:17:12.789	59.1s	10.2s	36.4%	166.7 MB	1004.9 MB	71.1 MB	17.1 MB
