task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
8	08/6fe712	390	NFCORE_TAXPROFILER:TAXPROFILER:LONGREAD_PREPROCESSING:LONGREAD_ADAPTERREMOVAL:PORECHOP_ABI (43_A47)	CACHED	0	2026-05-26 14:18:31.737	3h 10m 56s	2h 51m 48s	304.5%	72.4 GB	73.3 GB	81.5 GB	61.7 GB
9	92/2b3155	382	NFCORE_TAXPROFILER:TAXPROFILER:FASTQC (52_A48)	CACHED	0	2026-05-26 12:55:53.091	30m 18s	24m 41s	99.9%	2 GB	5.5 GB	24.4 GB	2.3 MB
2	07/b062fb	389	NFCORE_TAXPROFILER:TAXPROFILER:FASTQC (24_A46)	CACHED	0	2026-05-26 12:55:53.283	22m 3s	14m 32s	100.0%	1.3 GB	5.4 GB	11.3 GB	2 MB
4	79/156a4b	386	NFCORE_TAXPROFILER:TAXPROFILER:FASTQC (40_A49)	CACHED	0	2026-05-26 12:55:53.205	16m 28s	10m 54s	101.6%	1.4 GB	5.5 GB	14.8 GB	2 MB
5	ed/385abf	385	NFCORE_TAXPROFILER:TAXPROFILER:LONGREAD_PREPROCESSING:LONGREAD_ADAPTERREMOVAL:PORECHOP_ABI (35_A50)	CACHED	0	2026-05-26 12:55:53.179	2h 30m 19s	2h 24m 46s	313.3%	58.3 GB	59.1 GB	65.3 GB	49.5 GB
6	e1/6fcf77	387	NFCORE_TAXPROFILER:TAXPROFILER:FASTQC (43_A47)	CACHED	0	2026-05-26 12:55:53.232	36m 33s	29m 1s	114.1%	2.6 GB	5.5 GB	19.6 GB	2.3 MB
1	03/0479cd	384	NFCORE_TAXPROFILER:TAXPROFILER:LONGREAD_PREPROCESSING:LONGREAD_ADAPTERREMOVAL:PORECHOP_ABI (24_A46)	CACHED	0	2026-05-26 12:55:53.152	1h 41m 43s	1h 36m 9s	344.2%	41.5 GB	42.4 GB	46.8 GB	35.5 GB
7	9f/455680	383	NFCORE_TAXPROFILER:TAXPROFILER:LONGREAD_PREPROCESSING:LONGREAD_ADAPTERREMOVAL:PORECHOP_ABI (40_A49)	CACHED	0	2026-05-26 12:55:53.113	2h 22m 54s	2h 17m 19s	321.6%	56.1 GB	57 GB	61.5 GB	46.6 GB
3	01/8dabf0	381	NFCORE_TAXPROFILER:TAXPROFILER:FASTQC (35_A50)	CACHED	0	2026-05-26 12:55:53.067	21m 8s	15m 34s	99.5%	1.8 GB	5.4 GB	15.7 GB	2.3 MB
10	4c/191615	399	NFCORE_TAXPROFILER:TAXPROFILER:LONGREAD_PREPROCESSING:LONGREAD_ADAPTERREMOVAL:PORECHOP_ABI (52_A48)	CACHED	0	2026-05-26 15:47:27.305	3h 15m 16s	3h 15m 4s	328.1%	90 GB	90.9 GB	101.6 GB	77 GB
13	46/70ceb4	391	NFCORE_TAXPROFILER:TAXPROFILER:LONGREAD_PREPROCESSING:LONGREAD_FILTERING:NANOQ (24_A46)	CACHED	0	2026-05-26 14:37:36.673	41m 5s	40m 59s	98.7%	31.9 MB	60 MB	11.2 GB	11.1 GB
15	97/5680e7	409	NFCORE_TAXPROFILER:TAXPROFILER:LONGREAD_PREPROCESSING:LONGREAD_FILTERING:NANOQ (52_A48)	CACHED	0	2026-05-27 05:14:31.064	1h 31m 48s	1h 31m 44s	95.3%	58.2 MB	108.7 MB	24.3 GB	24.2 GB
12	29/d8b7c2	394	NFCORE_TAXPROFILER:TAXPROFILER:LONGREAD_PREPROCESSING:LONGREAD_FILTERING:NANOQ (40_A49)	CACHED	0	2026-05-26 15:18:46.734	1h 10m 31s	1h 10m 22s	89.4%	46.6 MB	60.2 MB	14.7 GB	14.4 GB
17	8e/3d9b1c	393	NFCORE_TAXPROFILER:TAXPROFILER:LONGREAD_HOSTREMOVAL:MINIMAP2_ALIGN (24_A46)	CACHED	0	2026-05-26 15:18:41.806	8m 30s	8m 17s	557.9%	18.7 GB	20.8 GB	52.2 GB	44.5 GB
18	c8/d21769	441	NFCORE_TAXPROFILER:TAXPROFILER:LONGREAD_PREPROCESSING:FASTQC_PROCESSED (52_A48)	CACHED	0	2026-05-27 06:46:19.683	33m 5s	32m 53s	95.1%	2 GB	6.5 GB	24.2 GB	2.2 MB
14	b4/aff3e3	395	NFCORE_TAXPROFILER:TAXPROFILER:LONGREAD_PREPROCESSING:LONGREAD_FILTERING:NANOQ (35_A50)	CACHED	0	2026-05-26 15:26:11.765	1h 16m 16s	1h 16m 11s	88.7%	45 MB	60.7 MB	15.6 GB	15.4 GB
19	d8/b64c4e	411	NFCORE_TAXPROFILER:TAXPROFILER:LONGREAD_PREPROCESSING:FASTQC_PROCESSED (40_A49)	CACHED	0	2026-05-27 05:14:31.109	11m 18s	11m 14s	100.0%	1.9 GB	6.5 GB	14.4 GB	1.9 MB
11	55/331220	410	NFCORE_TAXPROFILER:TAXPROFILER:LONGREAD_PREPROCESSING:LONGREAD_FILTERING:NANOQ (43_A47)	CACHED	0	2026-05-27 05:14:31.088	1h 11m 13s	1h 11m 10s	97.9%	54.2 MB	63.7 MB	19.5 GB	19.4 GB
21	fb/7b6b67	412	NFCORE_TAXPROFILER:TAXPROFILER:LONGREAD_HOSTREMOVAL:MINIMAP2_ALIGN (40_A49)	CACHED	0	2026-05-27 05:14:31.129	11m 3s	11m 2s	541.9%	18.6 GB	20.7 GB	62.6 GB	54.8 GB
20	71/3f5631	440	NFCORE_TAXPROFILER:TAXPROFILER:LONGREAD_HOSTREMOVAL:MINIMAP2_ALIGN (52_A48)	CACHED	0	2026-05-27 06:46:19.661	1h 41m 31s	22m 48s	474.2%	18.8 GB	21 GB	103.5 GB	95.1 GB
22	9a/3e3a6d	413	NFCORE_TAXPROFILER:TAXPROFILER:LONGREAD_PREPROCESSING:FASTQC_PROCESSED (35_A50)	CACHED	0	2026-05-27 05:14:31.157	25m 23s	18m 24s	99.4%	2.1 GB	6.5 GB	15.5 GB	2.2 MB
23	42/f8b3d7	414	NFCORE_TAXPROFILER:TAXPROFILER:LONGREAD_HOSTREMOVAL:MINIMAP2_ALIGN (35_A50)	CACHED	0	2026-05-27 05:14:31.184	2h 46m 44s	16m 12s	450.5%	18.8 GB	20.9 GB	70.9 GB	63 GB
25	eb/5dab01	436	NFCORE_TAXPROFILER:TAXPROFILER:LONGREAD_PREPROCESSING:FASTQC_PROCESSED (43_A47)	CACHED	0	2026-05-27 06:25:44.524	17m 5s	16m 50s	103.1%	3.2 GB	6.4 GB	19.4 GB	2.3 MB
24	02/fb260b	437	NFCORE_TAXPROFILER:TAXPROFILER:LONGREAD_HOSTREMOVAL:MINIMAP2_ALIGN (43_A47)	CACHED	0	2026-05-27 06:25:44.586	1h 39m 1s	15m 49s	543.6%	19 GB	21.2 GB	83.3 GB	75.2 GB
16	28/5c715d	392	NFCORE_TAXPROFILER:TAXPROFILER:LONGREAD_PREPROCESSING:FASTQC_PROCESSED (24_A46)	CACHED	0	2026-05-26 15:18:41.779	8m 35s	8m 32s	100.3%	1.8 GB	6.5 GB	11.1 GB	2 MB
28	1d/81c3e9	471	NFCORE_TAXPROFILER:TAXPROFILER:LONGREAD_HOSTREMOVAL:SAMTOOLS_VIEW (52_A48)	CACHED	0	2026-05-27 08:27:50.372	13m 40s	13m 15s	200.2%	16.9 MB	381.5 MB	23 GB	22.8 GB
29	02/64178d	397	NFCORE_TAXPROFILER:TAXPROFILER:LONGREAD_HOSTREMOVAL:SAMTOOLS_STATS (24_A46)	CACHED	0	2026-05-26 15:27:12.190	8m 25s	8m 13s	102.5%	548.4 MB	915 MB	10.6 GB	27.3 MB
27	b5/ef18ab	448	NFCORE_TAXPROFILER:TAXPROFILER:LONGREAD_HOSTREMOVAL:SAMTOOLS_VIEW (35_A50)	CACHED	0	2026-05-27 08:01:14.813	7m 50s	7m 20s	228.0%	16.4 MB	381.5 MB	14.7 GB	14.6 GB
34	cb/969e84	450	NFCORE_TAXPROFILER:TAXPROFILER:LONGREAD_HOSTREMOVAL:SAMTOOLS_VIEW (43_A47)	CACHED	0	2026-05-27 08:04:45.434	9m 55s	9m 38s	215.7%	17.8 MB	383 MB	18.5 GB	18.3 GB
36	91/f02782	473	NFCORE_TAXPROFILER:TAXPROFILER:LONGREAD_HOSTREMOVAL:SAMTOOLS_FASTQ (52_A48)	CACHED	0	2026-05-27 08:41:30.603	10m 25s	9m 55s	235.7%	15.9 MB	399.8 MB	22.8 GB	24.5 GB
26	ca/fe7810	396	NFCORE_TAXPROFILER:TAXPROFILER:LONGREAD_HOSTREMOVAL:SAMTOOLS_VIEW (24_A46)	CACHED	0	2026-05-26 15:27:12.136	8m 10s	7m 59s	158.6%	16.1 MB	381 MB	10.6 GB	10.5 GB
37	8f/1702f3	451	NFCORE_TAXPROFILER:TAXPROFILER:LONGREAD_HOSTREMOVAL:SAMTOOLS_FASTQ (35_A50)	CACHED	0	2026-05-27 08:09:05.332	8m 30s	8m 3s	197.2%	15.8 MB	399.5 MB	14.6 GB	15.7 GB
39	0e/244046	398	NFCORE_TAXPROFILER:TAXPROFILER:LONGREAD_HOSTREMOVAL:SAMTOOLS_FASTQ (24_A46)	CACHED	0	2026-05-26 15:35:21.803	15m 20s	15m 16s	101.5%	15.6 MB	398.7 MB	10.5 GB	11.3 GB
38	db/c58a77	452	NFCORE_TAXPROFILER:TAXPROFILER:LONGREAD_HOSTREMOVAL:SAMTOOLS_FASTQ (43_A47)	CACHED	0	2026-05-27 08:14:40.320	9m 5s	8m 43s	219.3%	15.7 MB	399.7 MB	18.3 GB	19.7 GB
31	e6/972b64	470	NFCORE_TAXPROFILER:TAXPROFILER:LONGREAD_HOSTREMOVAL:SAMTOOLS_STATS (52_A48)	CACHED	0	2026-05-27 08:27:50.347	18m 40s	18m 17s	128.3%	3.3 GB	3.7 GB	23 GB	151 MB
