task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
8	79/156a4b	386	NFCORE_TAXPROFILER:TAXPROFILER:FASTQC (40_A49)	COMPLETED	0	2026-05-26 12:55:53.205	16m 28s	10m 54s	101.6%	1.4 GB	5.5 GB	14.8 GB	2 MB
7	01/8dabf0	381	NFCORE_TAXPROFILER:TAXPROFILER:FASTQC (35_A50)	COMPLETED	0	2026-05-26 12:55:53.067	21m 8s	15m 34s	99.5%	1.8 GB	5.4 GB	15.7 GB	2.3 MB
1	07/b062fb	389	NFCORE_TAXPROFILER:TAXPROFILER:FASTQC (24_A46)	COMPLETED	0	2026-05-26 12:55:53.283	22m 3s	14m 32s	100.0%	1.3 GB	5.4 GB	11.3 GB	2 MB
10	92/2b3155	382	NFCORE_TAXPROFILER:TAXPROFILER:FASTQC (52_A48)	COMPLETED	0	2026-05-26 12:55:53.091	30m 18s	24m 41s	99.9%	2 GB	5.5 GB	24.4 GB	2.3 MB
9	e1/6fcf77	387	NFCORE_TAXPROFILER:TAXPROFILER:FASTQC (43_A47)	COMPLETED	0	2026-05-26 12:55:53.232	36m 33s	29m 1s	114.1%	2.6 GB	5.5 GB	19.6 GB	2.3 MB
5	4e/22a361	380	NFCORE_TAXPROFILER:TAXPROFILER:LONGREAD_PREPROCESSING:LONGREAD_ADAPTERREMOVAL:PORECHOP_ABI (43_A47)	FAILED	137	2026-05-26 12:55:53.036	1h 22m 39s	1h 17m 30s	-	-	-	-	-
2	03/0479cd	384	NFCORE_TAXPROFILER:TAXPROFILER:LONGREAD_PREPROCESSING:LONGREAD_ADAPTERREMOVAL:PORECHOP_ABI (24_A46)	COMPLETED	0	2026-05-26 12:55:53.152	1h 41m 43s	1h 36m 9s	344.2%	41.5 GB	42.4 GB	46.8 GB	35.5 GB
12	46/70ceb4	391	NFCORE_TAXPROFILER:TAXPROFILER:LONGREAD_PREPROCESSING:LONGREAD_FILTERING:NANOQ (24_A46)	COMPLETED	0	2026-05-26 14:37:36.673	41m 5s	40m 59s	98.7%	31.9 MB	60 MB	11.2 GB	11.1 GB
4	9f/455680	383	NFCORE_TAXPROFILER:TAXPROFILER:LONGREAD_PREPROCESSING:LONGREAD_ADAPTERREMOVAL:PORECHOP_ABI (40_A49)	COMPLETED	0	2026-05-26 12:55:53.113	2h 22m 54s	2h 17m 19s	321.6%	56.1 GB	57 GB	61.5 GB	46.6 GB
3	ed/385abf	385	NFCORE_TAXPROFILER:TAXPROFILER:LONGREAD_PREPROCESSING:LONGREAD_ADAPTERREMOVAL:PORECHOP_ABI (35_A50)	COMPLETED	0	2026-05-26 12:55:53.179	2h 30m 19s	2h 24m 46s	313.3%	58.3 GB	59.1 GB	65.3 GB	49.5 GB
14	8e/3d9b1c	393	NFCORE_TAXPROFILER:TAXPROFILER:LONGREAD_HOSTREMOVAL:MINIMAP2_ALIGN (24_A46)	COMPLETED	0	2026-05-26 15:18:41.806	8m 30s	8m 17s	557.9%	18.7 GB	20.8 GB	52.2 GB	44.5 GB
13	28/5c715d	392	NFCORE_TAXPROFILER:TAXPROFILER:LONGREAD_PREPROCESSING:FASTQC_PROCESSED (24_A46)	COMPLETED	0	2026-05-26 15:18:41.779	8m 35s	8m 32s	100.3%	1.8 GB	6.5 GB	11.1 GB	2 MB
17	ca/fe7810	396	NFCORE_TAXPROFILER:TAXPROFILER:LONGREAD_HOSTREMOVAL:SAMTOOLS_VIEW (24_A46)	COMPLETED	0	2026-05-26 15:27:12.136	8m 10s	7m 59s	158.6%	16.1 MB	381 MB	10.6 GB	10.5 GB
18	02/64178d	397	NFCORE_TAXPROFILER:TAXPROFILER:LONGREAD_HOSTREMOVAL:SAMTOOLS_STATS (24_A46)	COMPLETED	0	2026-05-26 15:27:12.190	8m 25s	8m 13s	102.5%	548.4 MB	915 MB	10.6 GB	27.3 MB
6	d9/916c31	388	NFCORE_TAXPROFILER:TAXPROFILER:LONGREAD_PREPROCESSING:LONGREAD_ADAPTERREMOVAL:PORECHOP_ABI (52_A48)	FAILED	137	2026-05-26 12:55:53.259	2h 51m 34s	1h 28m 56s	-	-	-	-	-
19	0e/244046	398	NFCORE_TAXPROFILER:TAXPROFILER:LONGREAD_HOSTREMOVAL:SAMTOOLS_FASTQ (24_A46)	COMPLETED	0	2026-05-26 15:35:21.803	15m 20s	15m 16s	101.5%	15.6 MB	398.7 MB	10.5 GB	11.3 GB
28	23/fa445b	402	NFCORE_TAXPROFILER:TAXPROFILER:PROFILING:SYLPH_PROFILE (benchmark_30000-sylph|24_A46)	COMPLETED	0	2026-05-26 15:50:42.401	6m 10s	5m 36s	77.1%	4.3 GB	4.8 GB	14 GB	11.7 KB
29	19/a80db7	408	NFCORE_TAXPROFILER:TAXPROFILER:PROFILING:SYLPHTAX_TAXPROF (benchmark_30000-sylph|24_A46)	COMPLETED	0	2026-05-26 15:56:52.554	34.9s	2s	685.1%	71.3 MB	7.6 GB	36.5 MB	11.2 KB
27	0c/dcd028	401	NFCORE_TAXPROFILER:TAXPROFILER:PROFILING:MELON (benchmark_30000-melon|24_A46)	FAILED	1	2026-05-26 15:50:42.373	31m 45s	31m 40s	-	-	-	-	-
15	29/d8b7c2	394	NFCORE_TAXPROFILER:TAXPROFILER:LONGREAD_PREPROCESSING:LONGREAD_FILTERING:NANOQ (40_A49)	COMPLETED	0	2026-05-26 15:18:46.734	1h 10m 31s	1h 10m 22s	89.4%	46.6 MB	60.2 MB	14.7 GB	14.4 GB
16	b4/aff3e3	395	NFCORE_TAXPROFILER:TAXPROFILER:LONGREAD_PREPROCESSING:LONGREAD_FILTERING:NANOQ (35_A50)	COMPLETED	0	2026-05-26 15:26:11.765	1h 16m 16s	1h 16m 11s	88.7%	45 MB	60.7 MB	15.6 GB	15.4 GB
23	f8/78fec2	405	NFCORE_TAXPROFILER:TAXPROFILER:PROFILING:KAIJU_KAIJU (benchmark_30000-kaiju|24_A46)	FAILED	137	2026-05-26 15:50:42.479	1h 8m 20s	1h 8m 16s	-	-	-	-	-
11	08/6fe712	390	NFCORE_TAXPROFILER:TAXPROFILER:LONGREAD_PREPROCESSING:LONGREAD_ADAPTERREMOVAL:PORECHOP_ABI (43_A47)	COMPLETED	0	2026-05-26 14:18:31.737	3h 10m 56s	2h 51m 48s	304.5%	72.4 GB	73.3 GB	81.5 GB	61.7 GB
21	ae/a745df	404	NFCORE_TAXPROFILER:TAXPROFILER:PROFILING:METACACHE_QUERY (benchmark_30000-metacache|24_A46)	COMPLETED	0	2026-05-26 15:50:42.455	1h 40m 55s	32m 30s	464.7%	79.1 GB	81.8 GB	82.7 GB	86.9 MB
26	64/9c47df	403	NFCORE_TAXPROFILER:TAXPROFILER:PROFILING:MOTUS_PREPLONG (benchmark_30000-motus|24_A46)	COMPLETED	0	2026-05-26 15:50:42.430	1h 52m 20s	1h 51m 22s	99.8%	27.9 MB	39.8 MB	11.3 GB	3.9 GB
24	98/1a03ca	406	NFCORE_TAXPROFILER:TAXPROFILER:PROFILING:KRAKEN2_KRAKEN2 (benchmark_30000-kraken2|kraken2|24_A46)	FAILED	137	2026-05-26 15:50:42.505	1h 58m 45s	19m 55s	-	-	-	-	-
25	d9/5d5053	400	NFCORE_TAXPROFILER:TAXPROFILER:PROFILING:CENTRIFUGE_CENTRIFUGE (benchmark_30000-centrifuge|24_A46)	COMPLETED	0	2026-05-26 15:50:42.348	2h 1m 21s	20m	690.3%	33.7 GB	34.5 GB	91.1 GB	47.7 GB
20	4c/191615	399	NFCORE_TAXPROFILER:TAXPROFILER:LONGREAD_PREPROCESSING:LONGREAD_ADAPTERREMOVAL:PORECHOP_ABI (52_A48)	COMPLETED	0	2026-05-26 15:47:27.305	3h 15m 16s	3h 15m 4s	328.1%	90 GB	90.9 GB	101.6 GB	77 GB
22	0f/1f30ff	407	NFCORE_TAXPROFILER:TAXPROFILER:PROFILING:DIAMOND_BLASTX (benchmark_30000-diamond|24_A46)	ABORTED	-	2026-05-26 15:50:42.531	-	-	-	-	-	-	-
