task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
2	de/a2afec	27490637	NFCORE_TAXPROFILER:TAXPROFILER:FASTQC (24_A46)	COMPLETED	0	2026-05-26 11:13:55.023	25m 56s	13m 50s	100.2%	5.5 GB	40.2 GB	11.3 GB	2 MB
8	fa/9ce1bb	27490635	NFCORE_TAXPROFILER:TAXPROFILER:FASTQC (43_A47)	COMPLETED	0	2026-05-26 11:13:54.717	33m 57s	25m 13s	100.1%	7.6 GB	40.2 GB	19.6 GB	2.3 MB
7	fd/88a27b	27490638	NFCORE_TAXPROFILER:TAXPROFILER:FASTQC (40_A49)	COMPLETED	0	2026-05-26 11:13:55.155	34m 56s	18m 9s	100.1%	5.1 GB	40.2 GB	14.8 GB	2 MB
9	e2/1de629	27490634	NFCORE_TAXPROFILER:TAXPROFILER:FASTQC (52_A48)	COMPLETED	0	2026-05-26 11:13:54.519	36m 57s	30m 37s	100.1%	5.5 GB	40.2 GB	24.5 GB	2.3 MB
4	ca/d2c08f	27490640	NFCORE_TAXPROFILER:TAXPROFILER:FASTQC (35_A50)	COMPLETED	0	2026-05-26 11:13:55.419	37m 56s	19m 22s	100.7%	5.2 GB	40.2 GB	15.7 GB	2.3 MB
1	47/c3bcfb	27490642	NFCORE_TAXPROFILER:TAXPROFILER:LONGREAD_PREPROCESSING:LONGREAD_ADAPTERREMOVAL:PORECHOP_ABI (24_A46)	COMPLETED	0	2026-05-26 11:13:55.659	21h 43m 10s	1h 55m 58s	452.0%	41.6 GB	43.1 GB	46.8 GB	35.5 GB
5	00/80aca5	27490633	NFCORE_TAXPROFILER:TAXPROFILER:LONGREAD_PREPROCESSING:LONGREAD_ADAPTERREMOVAL:PORECHOP_ABI (40_A49)	COMPLETED	0	2026-05-26 11:13:54.228	22h 5m 11s	2h 48m 56s	429.0%	56.1 GB	57.6 GB	61.5 GB	46.6 GB
3	39/442986	27490639	NFCORE_TAXPROFILER:TAXPROFILER:LONGREAD_PREPROCESSING:LONGREAD_ADAPTERREMOVAL:PORECHOP_ABI (35_A50)	COMPLETED	0	2026-05-26 11:13:55.288	22h 15m 10s	2h 58m 57s	442.9%	58.3 GB	59.7 GB	65.3 GB	49.5 GB
6	ec/11a5b1	27490636	NFCORE_TAXPROFILER:TAXPROFILER:LONGREAD_PREPROCESSING:LONGREAD_ADAPTERREMOVAL:PORECHOP_ABI (43_A47)	COMPLETED	0	2026-05-26 11:13:54.889	22h 32m 11s	3h 16m 6s	456.2%	72.4 GB	74 GB	81.5 GB	61.7 GB
11	95/6c8775	27504729	NFCORE_TAXPROFILER:TAXPROFILER:LONGREAD_PREPROCESSING:LONGREAD_FILTERING:NANOQ (24_A46)	COMPLETED	0	2026-05-27 08:57:05.764	1h 31m	59m 9s	99.4%	33.2 MB	60 MB	11.2 GB	11.1 GB
15	93/776b69	27506053	NFCORE_TAXPROFILER:TAXPROFILER:LONGREAD_PREPROCESSING:FASTQC_PROCESSED (24_A46)	COMPLETED	0	2026-05-27 10:28:06.198	15m	13m 58s	99.9%	3.8 GB	40.2 GB	11.1 GB	2 MB
16	4b/017a7a	27506054	NFCORE_TAXPROFILER:TAXPROFILER:LONGREAD_HOSTREMOVAL:MINIMAP2_ALIGN (24_A46)	COMPLETED	0	2026-05-27 10:28:06.311	17m	10m 15s	544.6%	18.7 GB	20.7 GB	52.2 GB	44.5 GB
12	b5/5aea50	27504901	NFCORE_TAXPROFILER:TAXPROFILER:LONGREAD_PREPROCESSING:LONGREAD_FILTERING:NANOQ (40_A49)	COMPLETED	0	2026-05-27 09:19:05.743	1h 30m 1s	1h 16m 49s	99.6%	46.2 MB	60.2 MB	14.7 GB	14.4 GB
18	da/ce7836	27506394	NFCORE_TAXPROFILER:TAXPROFILER:LONGREAD_HOSTREMOVAL:SAMTOOLS_STATS (24_A46)	COMPLETED	0	2026-05-27 10:45:07.352	4m 59s	4m 31s	138.4%	545.1 MB	686.2 MB	10.6 GB	27.3 MB
17	9d/3597b7	27506392	NFCORE_TAXPROFILER:TAXPROFILER:LONGREAD_HOSTREMOVAL:SAMTOOLS_VIEW (24_A46)	COMPLETED	0	2026-05-27 10:45:07.201	12m 59s	12m 2s	87.0%	16.6 MB	224.4 MB	10.6 GB	10.5 GB
10	3a/500818	27490641	NFCORE_TAXPROFILER:TAXPROFILER:LONGREAD_PREPROCESSING:LONGREAD_ADAPTERREMOVAL:PORECHOP_ABI (52_A48)	COMPLETED	0	2026-05-26 11:13:55.542	23h 47m 11s	4h 30m 6s	427.9%	90.1 GB	91.6 GB	101.7 GB	77 GB
