task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
2	26/614cc6	25714761	NFCORE_CREATETAXDB:CREATETAXDB:SYLPH_SKETCHGENOMES (benchmark)	COMPLETED	0	2026-03-26 18:54:03.759	2m 31s	25s	276.1%	731.1 MB	957.7 MB	11.4 GB	451.7 MB
1	b2/6b7868	25714763	NFCORE_CREATETAXDB:CREATETAXDB:PREPROCESSING:FIND_CONCATENATE_DNA (benchmark)	COMPLETED	0	2026-03-26 18:54:06.340	5m 29s	3m 21s	12.9%	17.8 MB	40.7 MB	11.5 GB	11.4 GB
5	02/ba5317	25714764	NFCORE_CREATETAXDB:CREATETAXDB:PREPROCESSING:FIND_CONCATENATE_AA (benchmark)	COMPLETED	0	2026-03-26 18:54:07.600	5m 27s	2m 26s	14.1%	10.2 MB	40.7 MB	4.1 GB	4 GB
6	85/a0a305	25714762	NFCORE_CREATETAXDB:CREATETAXDB:PREPROCESSING:SEQKIT_BATCHRENAME (benchmark)	COMPLETED	0	2026-03-26 18:54:05.078	6m 30s	5m 10s	94.7%	80 MB	1.3 GB	4.1 GB	3.4 GB
7	df/c11f2a	25714765	NFCORE_CREATETAXDB:CREATETAXDB:GANON_BUILDCUSTOM (benchmark)	COMPLETED	0	2026-03-26 18:54:08.791	13m 26s	3m 38s	471.5%	13.1 GB	16.5 GB	36.5 GB	21.7 GB
12	c0/1473a4	25714802	NFCORE_CREATETAXDB:CREATETAXDB:PREPROCESSING:FIND_CONCATENATE_AA_KAIJU (benchmark)	COMPLETED	0	2026-03-26 19:00:43.934	7m 51s	2m 23s	14.6%	9.8 MB	29.6 MB	3.4 GB	3.4 GB
10	d1/b05669	25714795	NFCORE_CREATETAXDB:CREATETAXDB:FASTA_BUILD_ADD_KRAKEN2_BRACKEN:KRAKEN2_ADD (benchmark)	COMPLETED	0	2026-03-26 18:59:37.465	11m 58s	10m 54s	103.1%	75.7 MB	99.8 MB	51.6 GB	40.2 GB
11	a2/fcdca3	25714796	NFCORE_CREATETAXDB:CREATETAXDB:DIAMOND_MAKEDB (benchmark)	COMPLETED	0	2026-03-26 18:59:37.591	13m 58s	10m 40s	161.3%	3.2 GB	5.3 GB	52.7 GB	25.5 GB
3	99/71f9cc	25714760	NFCORE_CREATETAXDB:CREATETAXDB:METACACHE_BUILD (benchmark)	COMPLETED	0	2026-03-26 18:54:01.951	20m 33s	8m 19s	154.8%	28.2 GB	28.7 GB	11.9 GB	14.3 GB
13	b6/d12a49	25714831	NFCORE_CREATETAXDB:CREATETAXDB:KAIJU_MKFMI (benchmark)	COMPLETED	0	2026-03-26 19:08:36.150	11m 59s	8m 20s	348.4%	9.9 GB	12.4 GB	7.3 GB	8.4 GB
9	b7/d822ef	25714794	NFCORE_CREATETAXDB:CREATETAXDB:KMCP_CREATE:KMCP_COMPUTE (benchmark)	COMPLETED	0	2026-03-26 18:59:35.285	24m	15m 10s	276.5%	624.4 MB	1.3 GB	11.4 GB	68.5 GB
15	3c/8d5c0b	25714863	NFCORE_CREATETAXDB:CREATETAXDB:KMCP_CREATE:KMCP_INDEX (benchmark)	COMPLETED	0	2026-03-26 19:23:35.313	7m	4m 51s	361.3%	5.4 GB	6.2 GB	68.5 GB	6.7 GB
14	09/24e169	25714835	NFCORE_CREATETAXDB:CREATETAXDB:FASTA_BUILD_ADD_KRAKEN2_BRACKEN:KRAKEN2_BUILD (benchmark)	COMPLETED	0	2026-03-26 19:11:35.398	53m	49m 59s	3102.1%	42.8 GB	47.1 GB	52.3 GB	39.8 GB
8	91/921e3c	25714797	NFCORE_CREATETAXDB:CREATETAXDB:CENTRIFUGE_BUILD (benchmark)	COMPLETED	0	2026-03-26 18:59:37.705	1h 7m 58s	56m 43s	587.0%	167.9 GB	180.7 GB	119.6 GB	95.6 GB
4	02/76c4ee	25714759	NFCORE_CREATETAXDB:CREATETAXDB:KRAKENUNIQ_BUILD (benchmark)	COMPLETED	0	2026-03-26 18:53:59.609	2h 19m 36s	2h 17m 59s	488.6%	138.8 GB	143.4 GB	322.1 GB	390.5 GB
16	31/3383fd	25715425	NFCORE_CREATETAXDB:CREATETAXDB:FASTA_BUILD_ADD_KRAKEN2_BRACKEN:BRACKEN_BUILD (benchmark)	COMPLETED	0	2026-03-26 20:04:37.108	2h 32m 58s	5m 59s	698.8%	57.2 GB	59.1 GB	34.4 GB	3.3 GB
17	d3/d5a709	25717239	NFCORE_CREATETAXDB:CREATETAXDB:MULTIQC	COMPLETED	0	2026-03-26 22:37:38.206	57.3s	10s	36.7%	172 MB	1010.9 MB	71.1 MB	17.1 MB
