task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
6	68/96c47d	27235487	NFCORE_TAXPROFILER:TAXPROFILER:FASTQC (24_A46)	COMPLETED	0	2026-05-17 18:40:27.346	17m 54s	14m 36s	100.1%	3.7 GB	40.2 GB	11.3 GB	2 MB
7	d3/bf0955	27235482	NFCORE_TAXPROFILER:TAXPROFILER:FASTQC (35_A50)	COMPLETED	0	2026-05-17 18:40:26.738	19m 55s	19m 32s	100.2%	5.6 GB	40.3 GB	15.7 GB	2.3 MB
8	48/d1f82a	27235484	NFCORE_TAXPROFILER:TAXPROFILER:FASTQC (40_A49)	COMPLETED	0	2026-05-17 18:40:26.980	19m 55s	19m 12s	100.2%	4.7 GB	40.2 GB	14.8 GB	2 MB
9	7e/9bfb49	27235480	NFCORE_TAXPROFILER:TAXPROFILER:FASTQC (43_A47)	COMPLETED	0	2026-05-17 18:40:26.497	25m 55s	25m 42s	100.1%	7.5 GB	40.2 GB	19.6 GB	2.3 MB
10	4e/8e2051	27235486	NFCORE_TAXPROFILER:TAXPROFILER:FASTQC (52_A48)	COMPLETED	0	2026-05-17 18:40:27.225	34m 54s	31m 57s	100.2%	5 GB	40.2 GB	24.5 GB	2.3 MB
1	64/4459b0	27235485	NFCORE_TAXPROFILER:TAXPROFILER:LONGREAD_PREPROCESSING:LONGREAD_ADAPTERREMOVAL:PORECHOP_ABI (24_A46)	COMPLETED	0	2026-05-17 18:40:27.095	1h 57m 55s	1h 54m 34s	486.1%	41.5 GB	43.1 GB	46.8 GB	35.5 GB
11	38/2ecf4f	27236867	NFCORE_TAXPROFILER:TAXPROFILER:LONGREAD_PREPROCESSING:LONGREAD_FILTERING:NANOQ (24_A46)	COMPLETED	0	2026-05-17 20:38:23.408	1h 1m	59m 36s	98.5%	29.6 MB	60 MB	11.2 GB	11.1 GB
3	e3/23bfa6	27235477	NFCORE_TAXPROFILER:TAXPROFILER:LONGREAD_PREPROCESSING:LONGREAD_ADAPTERREMOVAL:PORECHOP_ABI (40_A49)	COMPLETED	0	2026-05-17 18:40:26.219	3h 57s	2h 59m 38s	413.0%	56.1 GB	57.7 GB	61.5 GB	46.6 GB
13	24/dd572c	27238179	NFCORE_TAXPROFILER:TAXPROFILER:LONGREAD_HOSTREMOVAL:MINIMAP2_ALIGN (24_A46)	COMPLETED	0	2026-05-17 21:39:25.549	10m 58s	9m 59s	582.6%	18.7 GB	20.6 GB	52.2 GB	44.5 GB
2	48/b4811d	27235481	NFCORE_TAXPROFILER:TAXPROFILER:LONGREAD_PREPROCESSING:LONGREAD_ADAPTERREMOVAL:PORECHOP_ABI (35_A50)	COMPLETED	0	2026-05-17 18:40:26.617	3h 13m 57s	3h 11m 26s	425.8%	58.3 GB	59.8 GB	65.3 GB	49.5 GB
